FIPS,State_Name,County_Name,Tract_Name,Total_Population,Prison_Population,Percent_In_Prison,Prison_Name,Student_Population,Percent_Student,Universities,Nearby_Universities,Military_Population,Percent_In_Military,Military_Institutions,Native_American_Population,Percent_Native_American,Native_American_Reservations
39129021300,Ohio,Census Tract 213,Pickaway County,3494,3494,100.00%,Correctional Reception Center,0,0.00%,,,0,0.00%,,0,0.00%,
39133601502,Ohio,Census Tract 6015.02,Portage County,7391,0,0.00%,,5675,76.70%,Kent State University At Kent,Kent State University At Kent,0,0.00%,,0,0.00%,
39139001700,Ohio,Census Tract 17,Richland County,5017,4963,98.90%,Mansfield Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
39141955604,Ohio,Census Tract 9556.04,Ross County,6967,4595,65.90%,Ross Correctional Camp,0,0.00%,,,0,0.00%,,0,0.00%,
39145002200,Ohio,Census Tract 22,Scioto County,4513,1223,27.00%,Southern Ohio Correctional Facility,0,0.00%,,,0,0.00%,,0,0.00%,
39145003600,Ohio,Census Tract 36,Scioto County,2368,0,0.00%,,745,31.40%,Shawnee State University,Shawnee State University,0,0.00%,,0,0.00%,
39151710700,Ohio,Census Tract 7107,Stark County,3586,0,0.00%,,1105,30.80%,University Of Mount Union,University Of Mount Union,0,0.00%,,0,0.00%,
39153506800,Ohio,Census Tract 5068,Summit County,2196,539,24.50%,Summit County Jail - Crosier Street Facility,0,0.00%,,University Of Akron Main Campus,0,0.00%,,0,0.00%,
39153508900,Ohio,Census Tract 5089,Summit County,4291,0,0.00%,,2067,48.10%,University Of Akron Main Campus,University Of Akron Main Campus,0,0.00%,,0,0.00%,
39155920700,Ohio,Census Tract 9207,Trumbull County,4434,1465,33.00%,Trumbull Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
39159050401,Ohio,Census Tract 504.01,Union County,5477,2486,45.30%,Ohio Reformatory For Women,0,0.00%,,,0,0.00%,,0,0.00%,
39165031700,Ohio,Census Tract 317,Warren County,3193,3171,99.30%,Warren Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
39167020500,Ohio,Census Tract 205,Washington County,2249,0,0.00%,,861,38.20%,Marietta College,Marietta College,0,0.00%,,0,0.00%,
39169000500,Ohio,Census Tract 5,Wayne County,3907,0,0.00%,,753,19.20%,,,0,0.00%,,0,0.00%,
39169980000,Ohio,Census Tract 9800,Wayne County,1428,0,0.00%,,1270,88.90%,The College Of Wooster,The College Of Wooster,0,0.00%,,0,0.00%,
39173021800,Ohio,Census Tract 218,Wood County,5592,0,0.00%,,5324,95.20%,Bowling Green State University-Main Campus,Bowling Green State University-Main Campus,0,0.00%,,0,0.00%,
40001376600,Oklahoma,Census Tract 3766,Adair County,2331,0,0.00%,,0,0.00%,,,0,0.00%,,624,26.70%,
40001376700,Oklahoma,Census Tract 3767,Adair County,4654,0,0.00%,,0,0.00%,,,0,0.00%,,1445,31.00%,
40001376800,Oklahoma,Census Tract 3768,Adair County,3848,0,0.00%,,0,0.00%,,,0,0.00%,,1972,51.20%,
40001376900,Oklahoma,Census Tract 3769,Adair County,4305,0,0.00%,,0,0.00%,,,0,0.00%,,2270,52.70%,
40001377000,Oklahoma,Census Tract 3770,Adair County,4357,0,0.00%,,0,0.00%,,,0,0.00%,,2259,51.80%,
40003956000,Oklahoma,Census Tract 9560,Alfalfa County,2912,1147,39.30%,James Crabtree Correctional Center,0,0.00%,,,0,0.00%,,0,0.00%,
40005587600,Oklahoma,Census Tract 5876,Atoka County,1773,495,27.90%,Mack Alford Correctional Center,0,0.00%,,,0,0.00%,,312,17.50%,
40005587700,Oklahoma,Census Tract 5877,Atoka County,4133,0,0.00%,,0,0.00%,,,0,0.00%,,633,15.30%,
40005587800,Oklahoma,Census Tract 5878,Atoka County,3981,0,0.00%,,0,0.00%,,,0,0.00%,,668,16.70%,
40009966800,Oklahoma,Census Tract 9668,Beckham County,6269,2223,35.40%,Beckham County Jail,0,0.00%,,,0,0.00%,,0,0.00%,
40013795600,Oklahoma,Census Tract 7956,Bryan County,2479,0,0.00%,,0,0.00%,,,0,0.00%,,462,18.60%,
40013795700,Oklahoma,Census Tract 7957,Bryan County,3527,0,0.00%,,0,0.00%,,,0,0.00%,,549,15.50%,
40013796002,Oklahoma,Census Tract 7960.02,Bryan County,5305,0,0.00%,,0,0.00%,,,0,0.00%,,972,18.30%,
40013796400,Oklahoma,Census Tract 7964,Bryan County,2550,0,0.00%,,0,0.00%,,,0,0.00%,,487,19.00%,
40013796500,Oklahoma,Census Tract 7965,Bryan County,2539,0,0.00%,,0,0.00%,,Southeastern Oklahoma State University,0,0.00%,,416,16.30%,
40015161601,Oklahoma,Census Tract 1616.01,Caddo County,5284,3329,63.00%,Ci Great Plains,0,0.00%,,,0,0.00%,,0,0.00%,
40015161800,Oklahoma,Census Tract 1618,Caddo County,2626,0,0.00%,,0,0.00%,,,0,0.00%,,561,21.30%,Kiowa Indian Tribe of Oklahoma
40015161900,Oklahoma,Census Tract 1619,Caddo County,1400,0,0.00%,,0,0.00%,,,0,0.00%,,239,17.00%,
40015162000,Oklahoma,Census Tract 1620,Caddo County,2801,0,0.00%,,0,0.00%,,,0,0.00%,,520,18.50%,
40015162101,Oklahoma,Census Tract 1621.01,Caddo County,3000,0,0.00%,,0,0.00%,,,0,0.00%,,1327,44.20%,
40015162102,Oklahoma,Census Tract 1621.02,Caddo County,3337,0,0.00%,,0,0.00%,,,0,0.00%,,1684,50.40%,"Kiowa Indian Tribe of Oklahoma; Delaware Nation, Oklahoma; Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawak"
40015162200,Oklahoma,Census Tract 1622,Caddo County,2201,0,0.00%,,0,0.00%,,,0,0.00%,,633,28.70%,Apache Tribe of Oklahoma; Fort Sill Apache
40017300400,Oklahoma,Census Tract 3004,Canadian County,1183,0,0.00%,,0,0.00%,,,0,0.00%,,186,15.70%,
40017300702,Oklahoma,Census Tract 3007.02,Canadian County,5034,1388,27.50%,Union City Community Corrections Center,0,0.00%,,,0,0.00%,,0,0.00%,
40021977600,Oklahoma,Census Tract 9776,Cherokee County,5307,0,0.00%,,0,0.00%,,,0,0.00%,,2034,38.30%,
40021977701,Oklahoma,Census Tract 9777.01,Cherokee County,2854,0,0.00%,,0,0.00%,,,0,0.00%,,776,27.10%,
40021977702,Oklahoma,Census Tract 9777.02,Cherokee County,3448,0,0.00%,,0,0.00%,,,0,0.00%,,1175,34.00%,
40021977801,Oklahoma,Census Tract 9778.01,Cherokee County,2472,0,0.00%,,0,0.00%,,,0,0.00%,,1010,40.80%,
40021977802,Oklahoma,Census Tract 9778.02,Cherokee County,4353,0,0.00%,,0,0.00%,,,0,0.00%,,1499,34.40%,United Keetoowah Band of Cherokee Indians of Oklahoma
